Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
a1,0.20833333333333334,0.5370115011343181,0.6,0.12203652029845184,0.19740781908444713,0.38302598007711364,0.5446526553008036,0.35450107256130736,0.5416666666666666,0.6873332425783949,0.7083333333333333,0.2351776711314814,0.4381242439449948,0.712245452296647,0.71621605548236,0.5628910519393672,0.48700358216686146,0.47270354007822823
Antecedent,0.5277777777777778,0.7615505823227483,0.8564102564102565,0.341556733243951,0.5084760144987233,0.7815207960238895,0.8333333333333334,0.6191590904619053,0.41666666666666663,0.6403580480380207,0.6388888888888888,0.254943803308516,0.39233290622773875,0.7584605222542196,0.6904881074038682,0.5455619369970892,0.535651162206371,0.59430215447435086
a2,0.18055555555555555,0.5110162114407526,0.6166796166796167,0.1644408335327434,0.129619487709321,0.4029223500299593,0.4515186165020193,0.2970285184174077,0.6666666666666667,0.7343084371187691,0.8095238095238094,0.2528376522364789,0.611228111967985,0.8194932306126664,0.7224140902518232,0.7035464655368902,0.44728702552663663,0.50124039290053535
a4,0.11666666666666665,0.3915808025128589,0.32241442767758555,0.03898585020285391,0.07545714899534005,0.1056856470801506,0.20178476820096244,0.29906078466329666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06391373800418637,0.095032343176700063
