"Similarity Measures","noun_path","noun_lch","noun_wup","noun_res","noun_jcn","noun_lin","noun_lesk","noun_vector","verb_path","verb_lch","verb_wup","verb_res","verb_jcn","verb_lin","verb_lesk","verb_vector","word2vec"
"Antecedent","0.25","0.6039022991881641","0.7723399149869737","0.2313028747242823","0.13147670629007535","0.5281719920884457","0.49287355699855695","0.400893603673961","0.5416666666666666","0.6873332425783949","0.6845238095238094","0.13672698398924701","0.4056819442351352","0.5400229495870923","0.6223442183224792","0.626848999789648","0.4422380639369914"
"a3","0.1192929292929293","0.3958492672037203","0.37619047619047624","0.07885164216864246","0.1029350780263859","0.20747531226910104","0.17462305007717663","0.10471054659493095","0.5416666666666666","0.6873332425783949","0.6916666666666667","0.18435750590859132","0.4421455969493997","0.630272848267714","0.606127146449727","0.6176606908556219","0.2703790503037144"
"a2","0.21000000000000002","0.5618956755550781","0.7058823529411764","0.20583334967476707","0.13686094710102667","0.4958965712263857","0.40529483253298065","0.324933876553059","0.5416666666666666","0.6873332425783949","0.6666666666666666","0.13672698398924701","0.4056819442351352","0.5400229495870923","0.6956709956709954","0.6199079123965483","0.354154962778332"
"a4","0.145","0.4491552086581801","0.48","0.07409138625140091","0.11098723550191632","0.2374049767965784","0.3478343340941694","0.24472232021716467","0.2708333333333333","0.5269111916870982","0.42500000000000004","0.16967528292853024","0.12437366796497143","0.44105116566195696","0.37556776556776544","0.37267417245005796","0.3763861551052461"
