Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.37333333333333335,0.644981520728326,0.7533333333333333,0.262052727857449,0.3336894056564711,0.6067890599287209,0.5559595933365549,0.3951683844622548,0.8333333333333334,0.8205826880194187,0.8888888888888888,0.26126712462272644,0.7359580600595063,0.8383344394549926,1.0,0.9063447557904537,0.4978188715055326,0.62987267766537036
a3,0.33999999999999997,0.5981899992799082,0.64005772005772,0.23025606846324204,0.284495527799148,0.49109518679811986,0.3564950040554814,0.3958692757827248,0.8333333333333334,0.8205826880194187,0.8888888888888888,0.26126712462272644,0.7359580600595063,0.8383344394549926,1.0,0.9063447557904537,0.4347433571727789,0.5915242017399085
a2,0.3269047619047619,0.5834466494746199,0.6814565826330532,0.2625715208110744,0.28958213527455223,0.5570549995131577,0.4387380921456946,0.44942940580472523,0.8333333333333334,0.8205826880194187,0.8888888888888888,0.2585871313845038,0.7359580600595063,0.8383344394549926,1.0,0.9819225976334861,0.5187415359234416,0.61561957777995346
a4,0.19357142857142856,0.5238835120261605,0.6205555555555555,0.13897043097341413,0.14023547624845945,0.36886886214957604,0.3321526402563554,0.23466892924066657,0.5833333333333334,0.6953155025784209,0.7333333333333333,0.1684620549745607,0.46218676968531763,0.6865318026709438,0.7396969696969696,0.6824298001821582,0.38315171719230745,0.45219694815699762
