Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.21875,0.5455824190126977,0.6937669534216849,0.20131128506212656,0.14658330995845054,0.37688427321580353,0.3533013763162154,0.39882990861338874,0.6666666666666666,0.7343084371187691,0.75,0.17964936928630543,0.5691774030350186,0.726197187211174,0.6798579702497615,0.7248057841172155,0.424939948676883,0.49356542893895061
a3,0.13735569985569984,0.4321601314786828,0.5629580172149831,0.15514309194515294,0.09170859745509809,0.3245443061481117,0.2390757291857691,0.3116081763651365,0.6666666666666666,0.7343084371187691,0.75,0.17964936928630543,0.5724463693203676,0.7319279821205547,0.7595959595959595,0.7248057841172155,0.30427993255308766,0.45166083826044462
a2,0.1250464812964813,0.39648202313215386,0.35660277222777226,0.0587188880367031,0.06331223318026245,0.14832289157407155,0.15783051907160858,0.1754872250436874,0.6666666666666666,0.7343084371187691,0.75,0.17964936928630543,0.5691774030350186,0.726197187211174,0.6386363636363634,0.7248057841172155,0.25494844876979694,0.39565839372965
a4,0.2732142857142857,0.6099721159515026,0.7418650793650793,0.2593460831121617,0.2702499452914892,0.5532657801237926,0.34833980721928665,0.39917064138950564,0.6666666666666666,0.7343084371187691,0.75,0.22070168342931507,0.5691774030350186,0.7798459197485687,0.6252886002886004,0.7248057841172155,0.38569505589318437,0.52423019343908472
