Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.3333333333333333,0.6622786865753159,0.842750257997936,0.31531880779124993,0.605965037889114,0.7715109109401904,0.5520241545385224,0.45024145206377103,0.375,0.6013651134976725,0.7083333333333333,0.27347808013851327,0.19634018226020536,0.6559172246039604,0.7087962962962965,0.5229664134418585,0.5461337550763279,0.53657370822221195
a3,0.1369047619047619,0.4465194357295938,0.5966374269005849,0.17100994514629808,0.09818978331991289,0.3923983267303981,0.38726272909849535,0.21054684361818735,0.29166666666666663,0.5464076589572724,0.4857142857142857,0.17777460444055046,0.22305663752589566,0.5317253782310277,0.38841422466422504,0.3333473815541275,0.36215627385733196,0.33998425670938914
a2,0.3333333333333333,0.6622786865753159,0.8367978770455551,0.31531880779124993,0.605965037889114,0.7715109109401904,0.5925277549685933,0.4791912955831603,0.29166666666666663,0.5464076589572724,0.45,0.144981456763914,0.22305663752589566,0.4943372877204726,0.3905776515151515,0.324000957366017,0.43533467601313997,0.464546276273826
a4,0.14484126984126985,0.4604486720717064,0.5916828269769446,0.16753263475319033,0.09993053126911895,0.3938330683663614,0.2782088768930873,0.28603198945736236,0.29166666666666663,0.5464076589572724,0.45,0.18612193207709393,0.22305663752589566,0.538391543777518,0.38007390757390747,0.3856684311052615,0.376650549486518,0.34120865863524558
