Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.3944444444444445,0.6633672087971125,0.7974426807760141,0.2949328629196213,0.3526085548459468,0.6852503257430571,0.5050882761430425,0.5030860773325161,0.5833333333333333,0.6889296945784,0.7633333333333333,0.19896710832199513,0.4952970854319506,0.7042094285696674,0.8523076923076924,0.640949958780343,0.5584788730245897,0.56953099639312121
a3,0.15110630110630108,0.4664829931218428,0.6193092753670668,0.17954903153688428,0.10795205742429709,0.4144375320875622,0.2900790628604846,0.15304565678831278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14724641316224532,0.14877696020323514
a2,0.1574074074074074,0.4743779084138191,0.5820391739896383,0.12478979037028665,0.10602730230594602,0.32082379640161146,0.23703810995712882,0.22446749950682904,0.5666666666666667,0.6733325207622608,0.6599999999999999,0.11379222667617443,0.4797267877339718,0.510603839559201,0.5225608058608058,0.5581143689600798,0.3329970340793119,0.39086854345006694
