Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.14107142857142857,0.45188791887458674,0.5636523080892276,0.16081185781772264,0.10792931638803227,0.356776743243692,0.20783452370814268,0.23043121132583783,0.45,0.6293665571299407,0.58,0.1647616130039909,0.3033972010058048,0.5432223265537441,0.65407215007215,0.5326525482367206,0.347617864899053,0.37796973934823974
a3,0.19112103174603173,0.5212451904990466,0.6357142857142858,0.18135207146440974,0.11362204898801244,0.41330772487352396,0.3463423561448765,0.2666093563374075,0.3333333333333333,0.5761892276815022,0.49333333333333335,0.1326314507335097,0.14643391308821713,0.3902238302616907,0.44221683471520856,0.362880619025929,0.30880310070382916,0.34443292403789111
a2,0.3640376984126984,0.5992692997522807,0.7108426113360324,0.28669139436405267,0.3322191834093449,0.5990269855345247,0.43798171708022904,0.5003235129445991,0.4333333333333333,0.6137693833138014,0.5599999999999999,0.1647616130039909,0.30774771662770944,0.5352392752528662,0.4926277307254642,0.49463894863746305,0.4175375957380339,0.46176752938037791
a4,0.4428571428571429,0.6896495013903692,0.7894176901529842,0.2931079839534024,0.3933671035125228,0.658838819897662,0.6587430028220135,0.5256551653543842,0.37333333333333335,0.6016712754055247,0.5684210526315789,0.1827595836915949,0.3355567985853648,0.6163958402137242,0.7510549371263655,0.49628482958851095,0.42402630001743286,0.51771413885493589
