Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.2222222222222222,0.5630067908278834,0.6884531590413943,0.28702045972381224,0.20772048183030548,0.6796460351141406,0.4939896036387266,0.41325710560382406,0.4444444444444444,0.6586771995514874,0.611111111111111,0.1930422085737612,0.6992705246612897,0.7319298355043079,1.0,0.7510050729011253,0.5446975729285445,0.54055846045166944
a3,0.24444444444444446,0.5959563705208281,0.7777777777777778,0.33236589425546276,0.3570134116569781,0.8190742803574791,0.3779761904761903,0.32278321179051767,0.7777777777777778,0.7839443849924853,0.8333333333333334,0.18857566271471674,0.7018039478314351,0.7752281001030861,0.7348161764705883,0.782402521758836,0.501613112641524,0.58275803522961545
a2,0.24444444444444446,0.5959563705208281,0.711484593837535,0.24690712338139206,0.16916238906478856,0.6103803943908629,0.3142318111455107,0.42654464338896636,0.7777777777777778,0.7839443849924853,0.8333333333333334,0.1966218146106183,0.7019746803157417,0.8062964384049622,0.7311805555555556,0.883269710802812,0.4492220230036279,0.55780779346889664
a4,0.5555555555555555,0.7875458720163137,0.9047619047619048,0.3545235371967104,0.5009902150997787,0.8427915977432513,1.0,0.6910659888298186,0.3333333333333333,0.5854005934976205,0.7280701754385964,0.19878296478854918,0.3122115862437348,0.6465411997707752,0.5752950752950753,0.6216747208199673,0.5187685191788401,0.59748899056293092
