Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.19345238095238096,0.5230822647922053,0.667834382965962,0.1876919220978055,0.10320716692616388,0.42078570618822003,0.3191189335679552,0.26313741119343453,0.3333333333333333,0.5854005934976205,0.5,0.09808568996259137,0.1953995591088227,0.34638804808115636,0.3325583935585842,0.3755324877013506,0.32756005573563657,0.33956284292136601
a3,0.20734126984126985,0.5414014163056721,0.6628261831048209,0.19552956822292236,0.15160949559495865,0.5025237174104448,0.5231927952343328,0.30010733965691483,0.4666666666666666,0.6449637309460801,0.78312693498452,0.20052179559920208,0.35013430678197205,0.6360834538388223,0.6234725547820787,0.593906560079469,0.21675156876055593,0.44706819751827664
a2,0.31111111111111117,0.5895633372645863,0.6907332433648223,0.1982548428390887,0.2701358459558687,0.5132270460332029,0.3517199888207661,0.3649610452682301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28108466201688725,0.21004653662791553
a4,0.12944925444925445,0.41125186606900793,0.4010964912280701,0.09057094376324809,0.09480651042549144,0.22629613458181952,0.39484671089189655,0.31481494306564967,0.6000000000000001,0.7045268683945395,0.8269841269841269,0.24855984131062855,0.7057065345029133,0.8260383735067005,0.8139377438907515,0.6592106788063832,0.42196403954534156,0.46294476831857778
