Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.3630952380952381,0.600908459945164,0.7493872549019608,0.26412905657648544,0.3310044555090107,0.5912550382516311,0.43606729961811347,0.460365063990977,0.5416666666666666,0.687333242578395,0.6845238095238094,0.2016224002446077,0.4134518129467076,0.6777760732217482,0.6309404247284924,0.5573817737418777,0.41579117319680203,0.5062764261022169
a3,0.3669642857142857,0.6042150123164286,0.723529411764706,0.2391929862116325,0.322114853492035,0.5273327690492939,0.6518293597240965,0.4972701944765633,0.5416666666666666,0.687333242578395,0.7261904761904762,0.23657307586994356,0.5010592504942262,0.7546824366392304,0.8047664141414143,0.6250375919441564,0.3621763180986097,0.53952554972777411
a2,0.24583333333333335,0.5995393046876673,0.7763888888888889,0.2466736856505455,0.13804951873555843,0.5480931834350705,0.5127024577338131,0.43402913711768576,0.41666666666666663,0.6403580480380207,0.6791666666666667,0.25613178531619163,0.6258449489295965,0.8041505828370805,0.6903059613997113,0.6331362417543103,0.26997348277851424,0.50100258199819547
a4,0.10635198135198135,0.3658167249464075,0.27694235588972427,0.029239387652140434,0.07208117074376168,0.0786247046819484,0.10491981010791937,0.211133750038007,0.5416666666666666,0.687333242578395,0.7261904761904762,0.22610294952857418,0.4395955964054314,0.736404149304621,0.8047664141414143,0.594978042938812,0.3099378599985748,0.371299134303815
