Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.15873015873015872,0.4604486720717064,0.5802631578947368,0.17013909248750794,0.10674226001972036,0.389701202302933,0.22740521362866137,0.16692054070323906,0.3333333333333333,0.5854005934976205,0.875,0.27308417182427436,0.26098534005783364,0.7398547645132326,1.0,0.277909757099593,0.3050199262918242,0.40652577555625735
a3,0.28030303030303033,0.5815122543035368,0.66537384184443,0.20692702204719413,0.38732008338164453,0.50097490198106,0.48780089198435966,0.27567759994259317,0.3333333333333333,0.5854005934976205,0.5714285714285714,0.20208001644332194,0.16803414258441815,0.5753713048410347,0.607780182780183,0.505843733197591,0.31266523134339497,0.42634274913160697
a2,0.23611111111111108,0.5736498041612514,0.7061337355455003,0.24730806790413976,0.19414955242683138,0.5560221229924899,0.462883141762452,0.24644282036215379,0.3333333333333333,0.5854005934976205,0.6666666666666666,0.25880508947159553,0.1697008682101208,0.6367028663344483,1.0,0.568906921372148,0.3099784198763695,0.4560114773546019
a4,0.41203703703703703,0.5996450938548169,0.6013071895424836,0.26564521268821245,0.38356513507985013,0.4124432408875176,0.202662479742855,0.420856899188545,0.3333333333333333,0.5854005934976205,0.5,0.1705406542153321,0.087187050447359,0.37238446340278203,0.607780182780183,0.497911599604339,0.4747620033263308,0.40749777462521164
