Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.1172222222222222,0.3975176051183699,0.40197189807096934,0.10097430450716131,0.08716480302212008,0.22461296219538318,0.265220688609089,0.17596349419392857,0.3333333333333333,0.5854005934976205,0.5714285714285714,0.19277955049531767,0.2072031208883467,0.553019197796005,0.264880952380952,0.298063382685109,0.4114947274300461,0.30519125928673796
a3,0.19714285714285715,0.5375089520370528,0.6366138161803796,0.17529206251574955,0.1247408177619926,0.41934469624527876,0.2928423302027702,0.2775105822049944,0.3333333333333333,0.5854005934976205,0.8,0.29866934039365095,0.2528716270909097,0.7508570681909977,0.295674603174603,0.680286514841898,0.2964307997159351,0.40908941144294253
a2,0.2138095238095238,0.5531061258531922,0.6721288515406162,0.17799529359710614,0.1586595892439464,0.464841756769313,0.2934534572096766,0.3296946461626516,0.3333333333333333,0.5854005934976205,0.8,0.31362811673912205,0.17966820790060797,0.6921711544615003,0.248575985418091,0.276806523694255,0.4812810349605929,0.39850318789359696
a4,0.22333333333333333,0.5698212094637273,0.7320386527816869,0.213162275943717,0.18776587969265734,0.522409709890596,0.45745962749671243,0.2894128604402718,0.5,0.6953155025784209,0.6666666666666666,0.31979157157839583,0.2125070701169881,0.6888070395590513,1.0,0.682096403484523,0.3519108449498334,0.48897050870450487
