Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.17001133786848074,0.4857620197405672,0.6069797149629083,0.18260233504501236,0.10208217129675992,0.41137404230491575,0.32832184573162715,0.2017641169659137,0.6388888888888888,0.7396299437854532,0.8222222222222223,0.23097496556337782,0.5818984153853944,0.8285145947005788,1.0,0.6249583413444574,0.4458459532552315,0.49422534759186987
a3,0.4346938775510204,0.6787051665390537,0.7527682843472318,0.2907996508729653,0.36954647969446314,0.6106163028687159,0.5391283720580431,0.48481929412857544,0.8333333333333334,0.8205826880194187,0.9111111111111111,0.2656198333047927,0.7805574729537096,0.9160436525445247,1.0,0.8346392672458561,0.5472703163164225,0.65119030016995516
a2,0.40476190476190477,0.633488235430862,0.694593626924454,0.27173472683250455,0.35520490467392835,0.5422591708853838,0.4901568903434959,0.45799077916122904,0.8055555555555557,0.802263536505952,0.8952380952380952,0.2589129525081371,0.7805574729537096,0.9160436525445247,0.9199754901960785,0.8346392672458561,0.4513247692384507,0.61851182535294835
