Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.5833333333333334,0.7432314308092816,0.7727272727272727,0.30199265561296434,0.5331142852059193,0.6313923342210241,0.627681932966024,0.6352488763163365,1.0,0.8832162807399176,1.0,0.20966239480826138,1.0,1.0,1.0,1.0,0.6461283182135293,0.73927818323258032
a3,0.17142857142857143,0.504191528363924,0.5833333333333333,0.20101426591745764,0.11575676748142597,0.4489310208426489,0.637083248674484,0.355769545462213,0.5,0.6953155025784209,0.6666666666666666,0.14032656976347854,0.3593203163726423,0.6473275122682216,1.0,0.741765773852087,0.44333880205902965,0.48303349559203557
a2,0.1111111111111111,0.39045828902658425,0.4111111111111111,0.08121337918023995,0.07146385973584243,3.2407500623543165e-300,0.3279194081055365,0.140430360629201,1.0,0.8832162807399176,1.0,0.20966239480826138,1.0,1.0,1.0,1.0,0.4828680802935115,0.53585025145537157
