Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.5476190476190476,0.7476213459806355,0.8470588235294118,0.32677833576465976,0.6893659361374626,0.7326521700774523,0.7516666666666666,0.5510762502826994,0.4537037037037037,0.5594053038040551,0.5904761904761905,0.19018897404901622,0.395690001670169,0.5912279933657459,0.42423526649717114,0.5558961581212324,0.39971517342896257,0.55025749065731067
a3,0.4365079365079365,0.6483494502332032,0.7777777777777777,0.2638385756221427,0.38852095140612103,0.5263112209543063,0.557411642818047,0.4878237204541547,0.5,0.632681909857922,0.7802197802197801,0.23589137236588273,0.42869080596409576,0.6965640192585713,0.45337935337935337,0.5590586424476326,0.4105652494605882,0.51668190639573619
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19279896618287748,0.011341115657816323
