Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
a1,0.49292929292929283,0.7057641029299441,0.7837301587301587,0.304546514218935,0.46762964754170544,0.6845859725830277,0.7384457100625802,0.5831125010956179,0.48809523809523814,0.6639112428410494,0.6173669467787114,0.21419135986505422,0.5035110334617792,0.6899051616709185,0.7530833914762486,0.5671855861067788,0.45898999828415926,0.57158728580418816
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2677893272839194,0.015752313369642317
Antecedent,1.0,0.9860896635111783,1.0,0.45469441428319696,1.0,1.0,1.0,0.9999999999999987,1.0,0.8832162807399176,1.0,0.3755042697836846,1.0,1.0,1.0,1.0,1.0,0.92350027225399867
