Similarity Measures,noun_path,noun_lch,noun_wup,noun_res,noun_jcn,noun_lin,noun_lesk,noun_vector,verb_path,verb_lch,verb_wup,verb_res,verb_jcn,verb_lin,verb_lesk,verb_vector,word2vec,Average
Antecedent,0.36875,0.6691984515560603,0.8079458735708736,0.27096475039506573,0.4053969238769679,0.7107892487187115,0.7416111446073478,0.5928945146238963,0.40625,0.6128793207678207,0.6959967320261438,0.2333802045720352,0.42837083432060213,0.6645831497514904,0.739382905697244,0.6066868942505435,0.4713521087430266,0.55449606220457826
a3,0.30208333333333337,0.6452899117285201,0.800872975708502,0.26153140294972294,0.31478317582461207,0.6658251130821226,0.8314319904432074,0.41458971310765724,0.4166666666666667,0.6168704507678336,0.6420055821371611,0.09858338130569869,0.2736513584200394,0.36129091012818015,0.49209727721216695,0.5009126309608654,0.3931210641480858,0.47244746693672801
a2,0.24791666666666667,0.587183212302813,0.7303245859747407,0.20737603986504907,0.2503738757011156,0.5170376678355791,0.7188815705760818,0.3441841684657976,0.5104166666666666,0.6638456453082079,0.7496083959899749,0.3208711655045552,0.6252661175203712,0.7522241295545031,0.6794245026201294,0.700659525702411,0.46511875632010313,0.53357133485733921
a4,0.2729166666666667,0.6168488557654273,0.772921888053467,0.23042328994803035,0.19757052517364915,0.5868705442718215,0.6113995723625727,0.38201831055102875,0.5104166666666667,0.6638456453082079,0.792763157894737,0.35258631023779313,0.48498310256017463,0.8105913748269915,0.8424479166666665,0.7014180005644345,0.49774651651023083,0.54869225553109213
